Rank,Team,Conference,Record,Rating,H2H Adjustment,SOR Score,SOS Score,Win Resume,Loss Quality,Margin Score,Vegas Score,Conference Score,Location Win Score,Explanation
29,Iowa,Big Ten,8-4,70.64,-0.75,79.4,66.9,51.1,70.9,87.9,90.8,81.98529411764706,64.70588235294117,"8-4 record; strengths: Vegas #13, Margin #17, SOR #29; biggest weakness: Win Resume #68; head-to-head penalty"
30,Louisville,ACC,8-4,70.33,0.0,70.6,66.2,89.7,49.4,77.2,36.8,57.35294117647059,80.88235294117648,"8-4 record; strengths: Win Resume #16, Location Wins #27, Margin #32; biggest weakness: Vegas #87"
31,Houston,Big 12,9-3,69.96,0.0,80.1,25.7,78.8,46.6,71.0,64.7,69.48529411764706,72.79411764705883,"9-3 record; strengths: SOR #28, Win Resume #29, Location Wins #38; biggest weakness: SOS #102"
32,Duke,ACC,8-5,69.81,-1.5,73.5,90.4,84.6,45.8,63.2,57.4,57.35294117647059,83.08823529411765,"8-5 record; strengths: SOS #14, Win Resume #21, Location Wins #24; biggest weakness: Loss Quality #79; head-to-head penalty"
33,TCU,Big 12,8-4,69.55,0.0,76.5,65.4,80.1,57.7,64.7,28.7,69.48529411764706,74.26470588235294,"8-4 record; strengths: Win Resume #27, SOR #33, Location Wins #36; biggest weakness: Vegas #98"
34,Boise State,Mountain West,9-4,69.4,0.0,75.7,67.6,73.0,42.4,73.5,33.1,33.455882352941174,84.55882352941177,"9-4 record; strengths: Location Wins #22, SOR #34, Margin #37; biggest weakness: Vegas #92"
35,Wake Forest,ACC,8-4,68.62,0.0,67.6,52.9,87.0,46.3,62.5,83.8,57.35294117647059,77.20588235294117,"8-4 record; strengths: Win Resume #19, Vegas #23, Location Wins #32; biggest weakness: Loss Quality #77"
36,Washington,Big Ten,8-4,68.39,0.0,74.3,40.4,71.0,56.5,83.5,87.5,81.98529411764706,58.82352941176471,"8-4 record; strengths: Vegas #18, Margin #23, SOR #36; biggest weakness: SOS #82"
37,SMU,ACC,8-4,67.92,0.0,66.9,45.6,78.2,59.6,89.0,60.3,57.35294117647059,76.47058823529412,"8-4 record; strengths: Margin #16, Win Resume #31, Location Wins #33; biggest weakness: SOS #75"
38,NC State,ACC,7-5,67.91,0.0,69.1,91.2,87.0,51.6,46.0,48.5,57.35294117647059,77.94117647058823,"7-5 record; strengths: SOS #13, Win Resume #18, Location Wins #31; biggest weakness: Margin #74"
39,Pittsburgh,ACC,8-4,67.24,0.0,71.3,50.7,73.1,42.8,74.6,83.1,57.35294117647059,69.11764705882352,"8-4 record; strengths: Vegas #24, Margin #35, Win Resume #38; biggest weakness: Loss Quality #100"
40,New Mexico,Mountain West,9-3,65.56,0.0,69.9,17.6,70.1,55.3,65.4,88.2,33.455882352941174,75.0,"9-3 record; strengths: Vegas #17, Location Wins #35, Win Resume #42; biggest weakness: SOS #113"
41,Kennesaw State,Conference USA,10-3,64.5,0.0,78.7,32.4,28.8,61.9,66.2,78.7,14.338235294117647,85.29411764705883,"10-3 record; strengths: Location Wins #21, SOR #30, Vegas #30; biggest weakness: Win Resume #85"
42,San Diego State,Mountain West,9-3,63.16,0.0,65.4,11.8,61.3,46.2,84.6,96.3,33.455882352941174,69.85294117647058,"9-3 record; strengths: Vegas #6, Margin #22, Location Wins #42; biggest weakness: SOS #121"
43,Memphis,American Athletic,8-4,63.0,0.0,64.7,30.9,69.3,56.5,86.8,67.6,45.955882352941174,61.76470588235294,"8-4 record; strengths: Margin #19, Win Resume #43, Vegas #45; biggest weakness: SOS #95"
44,Tennessee,SEC,8-4,62.48,0.0,77.2,54.4,34.5,53.5,80.1,43.4,94.48529411764706,54.41176470588235,"8-4 record; strengths: Margin #28, SOR #32, SOS #63; biggest weakness: Win Resume #74"
45,East Carolina,American Athletic,8-4,62.3,0.0,66.2,36.8,52.9,49.9,81.6,92.6,45.955882352941174,66.17647058823529,"8-4 record; strengths: Vegas #11, Margin #26, SOR #47; biggest weakness: SOS #87"
46,Missouri,SEC,8-4,62.15,0.0,75.0,47.1,33.7,56.4,79.4,68.4,94.48529411764706,50.73529411764706,"8-4 record; strengths: Margin #29, SOR #35, Vegas #44; biggest weakness: Win Resume #75"
47,UConn,FBS Independents,9-3,61.63,0.0,64.0,1.5,63.5,59.7,78.7,75.7,39.338235294117645,68.38235294117648,"9-3 record; strengths: Margin #30, Vegas #34, Location Wins #44; biggest weakness: SOS #135"
48,LSU,SEC,7-5,59.45,0.0,72.1,94.1,32.0,58.2,50.4,13.2,94.48529411764706,60.29411764705882,"7-5 record; strengths: SOS #9, SOR #39, Location Wins #55; biggest weakness: Vegas #119"
49,UNLV,Mountain West,10-3,59.07,0.0,72.8,10.3,26.4,50.8,72.1,71.3,33.455882352941174,71.32352941176471,"10-3 record; strengths: SOR #38, Margin #39, Vegas #40; biggest weakness: SOS #123"
50,Old Dominion,Sun Belt,9-3,58.76,0.0,68.4,26.5,25.3,49.1,85.3,76.5,23.897058823529413,66.91176470588235,"9-3 record; strengths: Margin #21, Vegas #33, SOR #44; biggest weakness: Win Resume #98"
51,Cincinnati,Big 12,7-5,58.38,0.0,63.2,61.0,59.8,52.8,55.9,50.0,69.48529411764706,52.20588235294118,"7-5 record; strengths: SOR #51, SOS #54, Win Resume #57; biggest weakness: Vegas #69"
52,Washington State,Pac-12,6-6,58.04,0.0,54.4,80.9,66.2,49.8,57.0,89.7,39.338235294117645,51.470588235294116,"6-6 record; strengths: Vegas #15, SOS #27, Win Resume #49; biggest weakness: Loss Quality #62"
53,Western Michigan,Mid-American,9-4,57.83,0.0,61.8,14.0,50.1,50.1,61.8,93.4,5.147058823529411,73.52941176470588,"9-4 record; strengths: Vegas #10, Location Wins #37, SOR #53; biggest weakness: SOS #118"
54,Northwestern,Big Ten,6-6,57.62,0.0,58.1,79.4,60.7,55.2,46.0,80.9,81.98529411764706,40.44117647058824,"6-6 record; strengths: Vegas #27, SOS #29, Win Resume #56; biggest weakness: Location Wins #82"
55,Clemson,ACC,7-5,56.24,0.0,60.3,34.6,67.7,47.5,75.7,25.0,57.35294117647059,61.029411764705884,"7-5 record; strengths: Margin #34, Win Resume #46, Location Wins #54; biggest weakness: Vegas #103"
56,UTSA,American Athletic,6-6,55.33,0.0,51.5,64.0,74.1,50.8,55.1,66.9,45.955882352941174,46.32352941176471,"6-6 record; strengths: Win Resume #36, Vegas #46, SOS #50; biggest weakness: Location Wins #74"
57,Hawai'i,Mountain West,8-4,55.15,0.0,59.6,8.8,57.2,45.6,64.0,79.4,33.455882352941174,58.08823529411765,"8-4 record; strengths: Vegas #29, Margin #50, SOR #56; biggest weakness: SOS #125"
58,Fresno State,Mountain West,8-4,54.97,0.0,56.6,3.7,68.6,32.8,59.2,77.2,33.455882352941174,67.64705882352942,"8-4 record; strengths: Vegas #32, Win Resume #45, Location Wins #45; biggest weakness: SOS #132"
59,Nebraska,Big Ten,7-5,54.88,0.0,61.0,41.2,64.0,44.6,47.1,29.4,81.98529411764706,55.88235294117647,"7-5 record; strengths: Win Resume #52, SOR #54, Location Wins #61; biggest weakness: Vegas #97"
60,California,ACC,7-5,53.31,0.0,58.8,29.4,75.7,41.9,37.9,24.3,57.35294117647059,59.55882352941176,"7-5 record; strengths: Win Resume #35, Location Wins #56, SOR #57; biggest weakness: Vegas #104"
61,Mississippi State,SEC,5-7,53.07,0.0,49.3,91.9,62.0,51.0,36.8,61.0,94.48529411764706,37.86764705882353,"5-7 record; strengths: SOS #12, Win Resume #54, Vegas #54; biggest weakness: Margin #87"
62,Penn State,Big Ten,6-6,52.92,0.0,57.4,81.6,29.0,63.0,76.5,15.4,81.98529411764706,48.161764705882355,"6-6 record; strengths: SOS #26, Margin #33, Loss Quality #13; biggest weakness: Vegas #116"
63,Florida State,ACC,5-7,52.65,0.0,43.4,72.1,79.9,56.1,58.1,47.8,57.35294117647059,42.64705882352941,"5-7 record; strengths: Win Resume #28, SOS #39, Margin #58; biggest weakness: Location Wins #79"
64,Toledo,Mid-American,8-4,51.99,0.0,53.7,7.4,25.9,56.2,91.2,89.0,5.147058823529411,70.58823529411765,"8-4 record; strengths: Margin #13, Vegas #16, Location Wins #41; biggest weakness: SOS #127"
65,Kansas State,Big 12,6-6,51.93,0.0,52.9,58.8,58.2,57.6,53.7,34.6,69.48529411764706,41.911764705882355,"6-6 record; strengths: SOS #57, Win Resume #60, Loss Quality #26; biggest weakness: Vegas #90"
66,Minnesota,Big Ten,7-5,50.86,0.0,62.5,55.9,25.7,50.4,37.9,45.6,81.98529411764706,47.05882352941176,"7-5 record; strengths: SOR #52, SOS #61, Loss Quality #58; biggest weakness: Win Resume #96"
67,Jacksonville State,Conference USA,8-5,50.77,0.0,48.5,14.7,59.0,55.1,51.8,70.6,14.338235294117647,63.23529411764706,"8-5 record; strengths: Vegas #41, Location Wins #51, Win Resume #59; biggest weakness: SOS #117"
68,Kentucky,SEC,5-7,50.13,0.0,50.7,92.6,54.3,44.8,30.1,30.9,94.48529411764706,39.705882352941174,"5-7 record; strengths: SOS #11, Win Resume #63, SOR #68; biggest weakness: Margin #96"
69,Western Kentucky,Conference USA,8-4,48.85,0.0,55.9,8.1,27.9,46.8,59.2,72.1,14.338235294117647,62.5,"8-4 record; strengths: Vegas #39, Location Wins #52, Margin #56; biggest weakness: SOS #126"
70,Troy,Sun Belt,8-5,48.21,0.0,55.1,28.7,27.0,42.7,44.1,72.8,23.897058823529413,63.970588235294116,"8-5 record; strengths: Vegas #38, Location Wins #50, SOR #62; biggest weakness: Win Resume #90"
71,Florida,SEC,4-8,48.01,0.0,47.8,100.0,64.1,51.3,26.5,11.8,94.48529411764706,33.088235294117645,"4-8 record; strengths: SOS #1, Win Resume #51, Loss Quality #52; biggest weakness: Vegas #121"
72,Utah State,Mountain West,6-6,47.02,0.0,45.6,63.2,30.1,55.5,48.9,90.8,33.455882352941174,36.76470588235294,"6-6 record; strengths: Vegas #13, SOS #51, Loss Quality #37; biggest weakness: Win Resume #83"
73,Auburn,SEC,5-7,46.87,0.0,46.3,86.8,25.5,59.1,57.0,53.7,94.48529411764706,25.0,"5-7 record; strengths: SOS #19, Loss Quality #21, Margin #59; biggest weakness: Location Wins #103"
74,Baylor,Big 12,5-7,46.23,0.0,41.9,76.5,67.0,45.3,33.1,5.9,69.48529411764706,38.970588235294116,"5-7 record; strengths: SOS #33, Win Resume #47, Loss Quality #83; biggest weakness: Vegas #129"
75,Ohio,Mid-American,8-4,45.87,0.0,52.2,2.2,23.3,58.7,69.1,52.9,5.147058823529411,50.0,"8-4 record; strengths: Margin #43, Loss Quality #22, Vegas #65; biggest weakness: SOS #134"
76,Wisconsin,Big Ten,4-8,45.02,0.0,32.4,98.5,70.2,43.5,15.4,37.5,81.98529411764706,43.38235294117647,"4-8 record; strengths: SOS #3, Win Resume #41, Loss Quality #98; biggest weakness: Margin #116"
77,Army,American Athletic,6-6,44.64,0.0,47.1,38.2,32.9,55.6,44.9,49.3,45.955882352941174,52.94117647058824,"6-6 record; strengths: Loss Quality #36, Location Wins #65, Vegas #70; biggest weakness: Win Resume #76"
78,West Virginia,Big 12,4-8,44.54,0.0,35.3,94.9,73.2,44.5,17.6,22.4,69.48529411764706,37.86764705882353,"4-8 record; strengths: SOS #8, Win Resume #37, Loss Quality #91; biggest weakness: Margin #113"
79,Louisiana Tech,Conference USA,7-5,43.85,0.0,44.9,15.4,27.2,49.4,60.7,85.3,14.338235294117647,48.161764705882355,"7-5 record; strengths: Vegas #21, Margin #54, Loss Quality #63; biggest weakness: SOS #116"
80,Florida International,Conference USA,7-5,43.14,0.0,44.1,24.3,30.3,34.5,48.9,74.3,14.338235294117647,55.14705882352941,"7-5 record; strengths: Vegas #36, Location Wins #62, Margin #70; biggest weakness: SOS #104"
81,Rutgers,Big Ten,5-7,41.94,0.0,42.6,85.3,22.4,46.9,29.4,33.8,81.98529411764706,35.294117647058826,"5-7 record; strengths: SOS #21, Loss Quality #72, SOR #79; biggest weakness: Win Resume #111"
82,Miami (OH),Mid-American,7-6,41.82,0.0,33.8,22.1,47.2,43.8,51.8,59.6,5.147058823529411,57.35294117647059,"7-6 record; strengths: Vegas #56, Location Wins #59, Margin #66; biggest weakness: SOS #107"
83,Texas State,Sun Belt,6-6,41.04,0.0,36.8,31.6,32.9,48.0,66.9,50.7,23.897058823529413,45.588235294117645,"6-6 record; strengths: Margin #46, Vegas #68, Loss Quality #69; biggest weakness: SOS #94"
84,South Carolina,SEC,4-8,40.79,0.0,37.5,97.8,26.1,51.2,41.2,39.7,94.48529411764706,21.323529411764707,"4-8 record; strengths: SOS #4, Loss Quality #53, Margin #81; biggest weakness: Location Wins #108"
85,Southern Miss,Sun Belt,7-5,40.71,0.0,40.4,16.9,25.0,35.8,52.9,46.3,23.897058823529413,65.44117647058823,"7-5 record; strengths: Location Wins #48, Margin #65, Vegas #74; biggest weakness: SOS #114"
86,Marshall,Sun Belt,5-7,40.38,0.0,27.9,46.3,56.0,51.3,47.8,63.2,23.897058823529413,34.55882352941176,"5-7 record; strengths: Vegas #51, Win Resume #62, Loss Quality #51; biggest weakness: SOR #99"
87,Kansas,Big 12,5-7,40.36,0.0,41.2,78.7,24.7,44.5,43.4,12.5,69.48529411764706,32.35294117647059,"5-7 record; strengths: SOS #30, Loss Quality #92, Margin #78; biggest weakness: Vegas #120"
88,Georgia Southern,Sun Belt,6-6,38.1,0.0,39.7,58.1,24.0,38.7,25.0,22.4,23.897058823529413,44.85294117647059,"6-6 record; strengths: SOS #58, Location Wins #76, SOR #83; biggest weakness: Vegas #106"
89,Temple,American Athletic,5-7,37.71,0.0,36.0,64.7,26.6,40.4,28.7,73.5,45.955882352941174,17.647058823529413,"5-7 record; strengths: Vegas #37, SOS #49, Loss Quality #111; biggest weakness: Location Wins #113"
90,Central Michigan,Mid-American,7-5,37.39,0.0,38.2,2.9,20.1,45.5,54.4,69.1,5.147058823529411,41.17647058823529,"7-5 record; strengths: Vegas #43, Margin #63, Loss Quality #81; biggest weakness: SOS #133"
91,Virginia Tech,ACC,3-9,37.35,0.0,28.7,95.6,66.2,44.6,12.5,6.6,57.35294117647059,24.264705882352942,"3-9 record; strengths: SOS #7, Win Resume #48, Loss Quality #90; biggest weakness: Vegas #128"
92,Michigan State,Big Ten,4-8,37.24,0.0,30.1,75.7,47.2,43.4,21.7,31.6,81.98529411764706,23.52941176470588,"4-8 record; strengths: SOS #34, Win Resume #72, Loss Quality #99; biggest weakness: Margin #107"
93,Arkansas State,Sun Belt,6-6,37.15,0.0,30.9,22.8,30.8,40.4,35.7,65.4,23.897058823529413,56.61764705882353,"6-6 record; strengths: Vegas #48, Location Wins #60, Loss Quality #110; biggest weakness: SOS #106"
94,Louisiana,Sun Belt,6-6,35.87,0.0,33.1,27.9,23.7,48.8,35.7,47.1,23.897058823529413,44.11764705882353,"6-6 record; strengths: Loss Quality #66, Vegas #73, Location Wins #77; biggest weakness: Win Resume #105"
95,UCF,Big 12,5-7,35.82,0.0,31.6,51.5,23.5,47.4,39.0,44.1,69.48529411764706,25.735294117647058,"5-7 record; strengths: SOS #67, Loss Quality #71, Vegas #77; biggest weakness: Win Resume #106"
96,UAB,American Athletic,4-8,35.26,0.0,27.2,71.3,52.9,40.2,7.4,35.3,45.955882352941174,30.14705882352941,"4-8 record; strengths: SOS #40, Win Resume #65, Loss Quality #113; biggest weakness: Margin #127"
97,Rice,American Athletic,5-7,34.84,0.0,34.6,69.9,26.8,37.4,13.2,9.6,45.955882352941174,36.029411764705884,"5-7 record; strengths: SOS #42, Loss Quality #124, Location Wins #88; biggest weakness: Vegas #124"
98,Colorado,Big 12,3-9,34.69,0.0,18.4,93.4,59.8,45.0,16.5,8.1,69.48529411764706,31.25,"3-9 record; strengths: SOS #10, Win Resume #57, Loss Quality #85; biggest weakness: Vegas #126"
99,Stanford,ACC,4-8,33.94,0.0,25.0,77.9,24.4,44.9,10.3,80.1,57.35294117647059,27.205882352941174,"4-8 record; strengths: Vegas #28, SOS #31, Loss Quality #87; biggest weakness: Margin #123"
100,Coastal Carolina,Sun Belt,6-6,33.45,0.0,39.0,30.1,21.8,36.5,22.8,19.9,23.897058823529413,33.82352941176471,"6-6 record; strengths: SOR #84, Loss Quality #129, Location Wins #91; biggest weakness: Vegas #110"
101,UCLA,Big Ten,3-9,33.3,0.0,22.8,96.3,48.9,41.8,5.9,8.8,81.98529411764706,22.794117647058822,"3-9 record; strengths: SOS #6, Win Resume #71, Loss Quality #106; biggest weakness: Margin #129"
102,Maryland,Big Ten,4-8,31.38,0.0,25.7,44.1,30.5,45.2,34.6,42.6,81.98529411764706,16.176470588235293,"4-8 record; strengths: Loss Quality #84, SOS #77, Vegas #79; biggest weakness: Location Wins #115"
103,Florida Atlantic,American Athletic,4-8,31.37,0.0,26.5,75.0,23.0,39.8,19.9,41.9,45.955882352941174,20.588235294117645,"4-8 record; strengths: SOS #35, Vegas #80, Loss Quality #114; biggest weakness: Margin #110"
104,Arkansas,SEC,2-10,29.35,0.0,19.1,97.1,22.6,51.5,32.4,14.7,94.48529411764706,7.352941176470589,"2-10 record; strengths: SOS #5, Loss Quality #50, Margin #93; biggest weakness: Location Wins #127"
105,Air Force,Mountain West,4-8,29.03,0.0,19.9,60.3,18.2,49.9,39.7,52.2,33.455882352941174,13.23529411764706,"4-8 record; strengths: SOS #55, Vegas #66, Loss Quality #61; biggest weakness: Location Wins #119"
106,Syracuse,ACC,3-9,28.63,0.0,22.1,87.5,32.0,34.0,4.4,7.4,57.35294117647059,27.941176470588236,"3-9 record; strengths: SOS #18, Loss Quality #133, Win Resume #78; biggest weakness: Margin #131"
107,Purdue,Big Ten,2-10,27.16,0.0,20.6,99.3,17.6,48.2,9.6,20.6,81.98529411764706,5.514705882352941,"2-10 record; strengths: SOS #2, Loss Quality #68, SOR #109; biggest weakness: Location Wins #129"
108,Kent State,Mid-American,5-7,26.1,0.0,21.3,9.6,18.7,42.7,18.4,86.8,5.147058823529411,19.852941176470587,"5-7 record; strengths: Vegas #19, Loss Quality #101, SOR #108; biggest weakness: SOS #124"
109,App State,Sun Belt,5-7,25.55,0.0,23.5,18.4,21.8,48.3,31.6,11.0,23.897058823529413,12.5,"5-7 record; strengths: Loss Quality #67, Margin #94, SOR #105; biggest weakness: Vegas #122"
110,Liberty,Conference USA,4-8,25.3,0.0,16.2,48.5,19.7,52.3,40.4,14.0,14.338235294117647,19.11764705882353,"4-8 record; strengths: Loss Quality #48, SOS #71, Margin #82; biggest weakness: Vegas #118"
111,Tulsa,American Athletic,4-8,25.21,0.0,17.6,20.6,27.6,45.0,24.3,58.1,45.955882352941174,14.338235294117647,"4-8 record; strengths: Vegas #58, Loss Quality #86, Win Resume #88; biggest weakness: Location Wins #117"
112,North Carolina,ACC,4-8,25.04,0.0,24.3,36.0,21.3,38.9,21.7,17.6,57.35294117647059,11.029411764705882,"4-8 record; strengths: Loss Quality #118, SOS #88, SOR #104; biggest weakness: Location Wins #122"
113,San José State,Mountain West,3-9,23.9,0.0,11.0,39.7,54.0,38.9,11.8,1.5,33.455882352941174,26.47058823529412,"3-9 record; strengths: Win Resume #64, SOS #83, Loss Quality #119; biggest weakness: Vegas #135"
114,South Alabama,Sun Belt,4-8,23.17,0.0,16.9,33.1,22.8,43.8,27.9,16.2,23.897058823529413,16.911764705882355,"4-8 record; strengths: Loss Quality #96, SOS #92, Margin #99; biggest weakness: Vegas #115"
115,Oregon State,Pac-12,2-10,22.81,0.0,6.6,69.1,51.1,40.5,8.8,4.4,39.338235294117645,6.61764705882353,"2-10 record; strengths: SOS #43, Win Resume #67, Loss Quality #109; biggest weakness: Vegas #131"
116,Buffalo,Mid-American,5-7,22.16,0.0,14.7,5.9,20.1,42.1,42.6,10.3,5.147058823529411,22.058823529411764,"5-7 record; strengths: Margin #79, Loss Quality #104, Location Wins #107; biggest weakness: SOS #129"
117,Bowling Green,Mid-American,4-8,22.01,0.0,8.1,4.4,50.1,35.2,27.2,38.2,5.147058823529411,18.38235294117647,"4-8 record; strengths: Win Resume #69, Vegas #85, Loss Quality #131; biggest weakness: SOS #131"
118,Wyoming,Mountain West,4-8,21.93,0.0,15.4,19.1,18.7,43.9,25.7,39.0,33.455882352941174,15.441176470588236,"4-8 record; strengths: Loss Quality #93, Vegas #84, Margin #102; biggest weakness: SOR #116"
119,Nevada,Mountain West,3-9,21.42,0.0,11.8,53.7,19.3,38.9,11.0,54.4,33.455882352941174,8.088235294117647,"3-9 record; strengths: Vegas #63, SOS #64, Loss Quality #117; biggest weakness: Location Wins #126"
120,Boston College,ACC,2-10,21.01,0.0,9.6,72.8,20.6,38.9,14.7,23.5,57.35294117647059,4.411764705882353,"2-10 record; strengths: SOS #38, Loss Quality #120, Vegas #105; biggest weakness: Location Wins #131"
121,New Mexico State,Conference USA,4-8,20.59,0.0,13.2,12.5,18.4,43.8,23.5,61.8,14.338235294117647,9.926470588235293,"4-8 record; strengths: Vegas #53, Loss Quality #94, Margin #105; biggest weakness: Location Wins #123"
